DATAFLOW,freq,tenure,indic_il,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LT,2019,9264,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LU,2010,36410,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LU,2011,36662,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LU,2012,36925,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LU,2013,38442,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LU,2014,38555,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LU,2015,39707,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LU,2016,37642,b
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LU,2017,41085,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LU,2018,40075,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LU,2019,42818,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LV,2010,5466,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LV,2011,5131,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LV,2012,5463,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LV,2013,5732,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LV,2014,6324,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LV,2015,6970,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LV,2016,7526,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LV,2017,7831,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LV,2018,8738,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ME,2013,3584,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ME,2014,3616,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ME,2015,3720,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ME,2016,3813,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ME,2017,4129,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ME,2018,4234,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ME,2019,4241,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,MK,2012,2153,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,MK,2013,2252,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,MK,2014,2304,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,MK,2015,2447,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,MK,2016,2549,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,MK,2017,2691,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,MK,2018,2842,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,MK,2019,2972,
